country,determination_perseverance,feeling_of_responsibility,good_manners,hard_work,imagination,independence,obedience,religious_faith,thrift_saving_money_and_things,tolerance_and_respect_for_others,unselfishness,year
Andorra,0,0,0,0,0,0,0,0,0,0,0,2000-2004
Albania,52.9,68.2,0,63.6,28.9,57.2,53.9,36.3,54.9,80,11.8,2000-2004
Algeria,17.5,58,82.9,66.9,12.2,25.7,56.2,76.8,17.9,54,16.5,2000-2004
Azerbaijan,0,0,0,0,0,0,0,0,0,0,0,2000-2004
Argentina,22.2,76.6,82.6,56.8,23.5,36.3,37.1,43.5,14.9,70.4,12.7,2000-2004
Australia,0,0,0,0,0,0,0,0,0,0,0,2000-2004
Armenia,0,0,0,0,0,0,0,0,0,0,0,2000-2004
Bangladesh,35.9,53.3,0,58.9,35.6,77.8,19.2,70.1,57.3,70.9,15.8,2000-2004
Bosnia Herzegovina,46.1,73.8,0,53.8,26.8,56.3,43.5,24.5,37.2,71.7,37.6,2000-2004
Brazil,0,0,0,0,0,0,0,0,0,0,0,2000-2004
Belarus,0,0,0,0,0,0,0,0,0,0,0,2000-2004
Bulgaria,0,0,0,0,0,0,0,0,0,0,0,2000-2004
Canada,48,77,0,52.7,33,62.3,29.8,30.8,27.1,80.6,45.1,2000-2004
Chile,43.7,84.2,0,25.9,35.7,52.7,54.9,40.3,34.4,76,34.2,2000-2004
China,16,63.6,0,85.8,35.3,74.1,14.8,0,57.2,72.6,37,2000-2004
Taiwan,0,0,0,0,0,0,0,0,0,0,0,2000-2004
Colombia,0,0,0,0,0,0,0,0,0,0,0,2000-2004
Croatia,0,0,0,0,0,0,0,0,0,0,0,2000-2004
Cyprus,0,0,0,0,0,0,0,0,0,0,0,2000-2004
Czech Rep.,0,0,0,0,0,0,0,0,0,0,0,2000-2004
Dominican Rep.,0,0,0,0,0,0,0,0,0,0,0,2000-2004
El Salvador,0,0,0,0,0,0,0,0,0,0,0,2000-2004
Ecuador,0,0,0,0,0,0,0,0,0,0,0,2000-2004
Estonia,0,0,0,0,0,0,0,0,0,0,0,2000-2004
Ethiopia,0,0,0,0,0,0,0,0,0,0,0,2000-2004
Finland,0,0,0,0,0,0,0,0,0,0,0,2000-2004
France,0,0,0,0,0,0,0,0,0,0,0,2000-2004
Georgia,0,0,0,0,0,0,0,0,0,0,0,2000-2004
Palestine,0,0,0,0,0,0,0,0,0,0,0,2000-2004
Germany,0,0,0,0,0,0,0,0,0,0,0,2000-2004
Ghana,0,0,0,0,0,0,0,0,0,0,0,2000-2004
Guatemala,0,0,0,0,0,0,0,0,0,0,0,2000-2004
Haiti,0,0,0,0,0,0,0,0,0,0,0,2000-2004
Hong Kong,0,0,0,0,0,0,0,0,0,0,0,2000-2004
Hungary,0,0,0,0,0,0,0,0,0,0,0,2000-2004
India,46.4,67.6,0,84.9,28.1,56.2,55.7,46.6,61.9,63.2,36.6,2000-2004
Indonesia,43.7,82.1,85.6,66.7,28.9,76.6,53.3,93.1,52.2,62.9,47.3,2000-2004
Iran,28.4,72,88.8,62.1,11,53.2,41.4,70.9,29.6,59,28.9,2000-2004
Iraq,0,75.7,90.1,0,0,28.8,73.8,92,28.2,77.8,0,2000-2004
Israel,30.7,65.5,76.6,24.2,22.8,68.6,16.3,29.1,19.8,81.9,49,2000-2004
Italy,0,0,0,0,0,0,0,0,0,0,0,2000-2004
Japan,69,90.7,0,27.1,34.5,81.8,4.3,6.5,48.1,71.2,53.2,2000-2004
